data,crc
"{'event_time': '2023-10-17T09:58:39.851Z', 'weight': 0.0}",1899239090
"{'event_time': '2023-10-17T09:58:40.859Z', 'weight': 0.0}",3527906738
"{'event_time': '2023-10-17T09:58:41.867Z', 'weight': 0.0}",1927291962
"{'event_time': '2023-10-17T09:58:42.875Z', 'weight': 0.0}",366354608
"{'event_time': '2023-10-17T09:58:43.853Z', 'weight': 0.0}",3652696059
"{'event_time': '2023-10-17T09:58:44.861Z', 'weight': 0.0}",1947427950
"{'event_time': '2023-10-17T09:58:45.869Z', 'weight': 0.0}",3871445823
"{'event_time': '2023-10-17T09:58:46.877Z', 'weight': 0.0}",1631487954
"{'event_time': '2023-10-17T09:58:47.862Z', 'weight': 0.0}",2711673850
"{'event_time': '2023-10-17T09:58:48.869Z', 'weight': 0.0}",2102893406
"{'event_time': '2023-10-17T09:58:49.877Z', 'weight': 0.0}",389962842
"{'event_time': '2023-10-17T09:58:50.855Z', 'weight': 0.0}",3014385906
"{'event_time': '2023-10-17T09:58:51.862Z', 'weight': 0.0}",3444559015
"{'event_time': '2023-10-17T09:58:52.869Z', 'weight': 0.0}",291335862
"{'event_time': '2023-10-17T09:58:53.877Z', 'weight': 0.0}",2067048882
"{'event_time': '2023-10-17T09:58:54.860Z', 'weight': 0.0}",584352017
"{'event_time': '2023-10-17T09:58:55.867Z', 'weight': 0.0}",4086947982
"{'event_time': '2023-10-17T09:58:56.875Z', 'weight': 0.0}",2494555140
"{'event_time': '2023-10-17T09:58:57.882Z', 'weight': 0.0}",964556218
"{'event_time': '2023-10-17T09:58:58.862Z', 'weight': 0.0}",1451582805
"{'event_time': '2023-10-17T09:58:59.870Z', 'weight': 0.0}",3693457974
"{'event_time': '2023-10-17T09:59:00.878Z', 'weight': 0.0}",1097882542
"{'event_time': '2023-10-17T09:59:01.861Z', 'weight': 0.0}",1629951969
"{'event_time': '2023-10-17T09:59:02.869Z', 'weight': 0.0}",509817689
"{'event_time': '2023-10-17T09:59:03.877Z', 'weight': 0.0}",1946874973
"{'event_time': '2023-10-17T09:59:04.855Z', 'weight': 0.0}",3167296654
"{'event_time': '2023-10-17T09:59:05.864Z', 'weight': 0.0}",1609645000
"{'event_time': '2023-10-17T09:59:06.872Z', 'weight': 0.0}",3517919904
"{'event_time': '2023-10-17T09:59:07.859Z', 'weight': 0.0}",719664596
"{'event_time': '2023-10-17T09:59:08.868Z', 'weight': 0.0}",615392206
"{'event_time': '2023-10-17T09:59:09.878Z', 'weight': 0.0}",3669684828
"{'event_time': '2023-10-17T09:59:10.887Z', 'weight': 0.0}",4283816038
"{'event_time': '2023-10-17T09:59:11.867Z', 'weight': 0.0}",2111732181
"{'event_time': '2023-10-17T09:59:12.876Z', 'weight': 0.0}",3116301302
"{'event_time': '2023-10-17T09:59:13.884Z', 'weight': 0.0}",719742962
"{'event_time': '2023-10-17T09:59:14.865Z', 'weight': 0.0}",2454008931
"{'event_time': '2023-10-17T09:59:15.873Z', 'weight': 0.0}",4052610786
"{'event_time': '2023-10-17T09:59:16.882Z', 'weight': 0.0}",739583910
"{'event_time': '2023-10-17T09:59:17.890Z', 'weight': 0.0}",2796941509
"{'event_time': '2023-10-17T09:59:18.867Z', 'weight': 0.0}",3860123687
"{'event_time': '2023-10-17T09:59:19.876Z', 'weight': 0.0}",3487728109
"{'event_time': '2023-10-17T09:59:20.884Z', 'weight': 0.0}",69072871
"{'event_time': '2023-10-17T09:59:21.892Z', 'weight': 0.0}",1742024038
"{'event_time': '2023-10-17T09:59:22.871Z', 'weight': 0.0}",2879314325
